scale,model,split,kernel_family,target,smape,r2,rmse,n_samples,inference_seconds_per_sample
50,logistic_hurdle_rbf_threshold_graph,exemplar,all,lut,85.85070037841797,0.007296383380889893,27390.56640625,400,0.0005673149048994223
50,logistic_hurdle_rbf_threshold_graph,exemplar,all,ff,101.4001693725586,-0.013226151466369629,17443.36328125,400,0.0005673149048994223
50,logistic_hurdle_rbf_threshold_graph,exemplar,all,dsp,66.86530303955078,0.05565488338470459,684.10205078125,400,0.0005673149048994223
50,logistic_hurdle_rbf_threshold_graph,exemplar,all,bram,59.908382415771484,-0.1296405792236328,2.6872918605804443,400,0.0005673149048994223
50,logistic_hurdle_rbf_threshold_graph,exemplar,all,cycles_max,110.70647430419922,0.15490829944610596,1265.9984130859375,400,0.0005673149048994223
50,logistic_hurdle_rbf_threshold_graph,exemplar,all,interval_max,130.57574462890625,-0.13891887664794922,584.2296142578125,400,0.0005673149048994223
50,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,lut,85.85070037841797,0.007296383380889893,27390.56640625,400,0.0005673149048994223
50,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,ff,101.4001693725586,-0.013226151466369629,17443.36328125,400,0.0005673149048994223
50,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,dsp,66.86530303955078,0.05565488338470459,684.10205078125,400,0.0005673149048994223
50,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,bram,59.908382415771484,-0.1296405792236328,2.6872918605804443,400,0.0005673149048994223
50,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,cycles_max,110.70647430419922,0.15490829944610596,1265.9984130859375,400,0.0005673149048994223
50,logistic_hurdle_rbf_threshold_graph,exemplar,exemplar,interval_max,130.57574462890625,-0.13891887664794922,584.2296142578125,400,0.0005673149048994223
100,logistic_hurdle_rbf_expected_graph,test,all,lut,22.4136905670166,0.8582754135131836,40862.9140625,294,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,all,ff,28.013233184814453,0.8955305218696594,22006.591796875,294,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,all,dsp,37.09135818481445,0.7349870800971985,548.1751098632812,294,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,all,bram,28.584714889526367,0.5335220098495483,20.5793514251709,294,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,all,cycles_max,26.93345832824707,0.8164517879486084,224441.203125,294,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,all,interval_max,32.010982513427734,0.766464352607727,253275.875,294,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,2layer,lut,13.667908668518066,0.7534079551696777,3325.41259765625,64,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,2layer,ff,11.741562843322754,0.7710818648338318,1896.1358642578125,64,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,2layer,dsp,19.50159454345703,0.6286060810089111,2.7184178829193115,64,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,2layer,bram,23.362031936645508,-0.0229111909866333,2.1822850704193115,64,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,2layer,cycles_max,5.9838151931762695,0.9749690294265747,349.529541015625,64,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,2layer,interval_max,5.720746994018555,0.9761541485786438,203.03038024902344,64,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,3layer,lut,14.180482864379883,0.7114171981811523,5224.12060546875,58,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,3layer,ff,12.486650466918945,0.6914665699005127,2892.61669921875,58,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,3layer,dsp,18.58313751220703,0.6709550023078918,3.18546462059021,58,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,3layer,bram,23.80302619934082,-0.09652268886566162,6.212124824523926,58,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,3layer,cycles_max,5.8960652351379395,0.9751023054122925,513.5892944335938,58,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,3layer,interval_max,7.701320171356201,0.9716856479644775,233.40647888183594,58,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv1d,lut,11.176336288452148,0.9436322450637817,3189.486083984375,24,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv1d,ff,12.696491241455078,0.8139849305152893,7674.7578125,24,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv1d,dsp,13.755295753479004,0.9030429124832153,0.7564043998718262,24,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv1d,bram,40.75558090209961,0.4105152487754822,9.10519027709961,24,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv1d,cycles_max,42.48786163330078,0.8628466725349426,55886.9375,24,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv1d,interval_max,42.960838317871094,0.845877468585968,59243.12109375,24,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv2d,lut,24.973224639892578,0.7056269645690918,10862.94140625,13,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv2d,ff,22.952054977416992,0.5347004532814026,40522.98828125,13,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv2d,dsp,47.05997085571289,0.17164617776870728,1.8602311611175537,13,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv2d,bram,32.476444244384766,0.384393572807312,15.280547142028809,13,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv2d,cycles_max,55.06778335571289,0.6549993753433228,1064638.125,13,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,conv2d,interval_max,57.10438919067383,0.5605097413063049,1201776.5,13,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_latency,lut,17.12739372253418,0.8508514165878296,45032.6953125,42,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_latency,ff,21.85614776611328,0.906782329082489,37673.5859375,42,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_latency,dsp,56.776607513427734,0.8628751039505005,796.6185302734375,42,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_latency,bram,0.5236504077911377,-4873.244140625,0.0037194956094026566,42,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_latency,cycles_max,28.677183151245117,0.8272997736930847,67.71041107177734,42,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_latency,interval_max,28.59486961364746,0.8391498923301697,11.525086402893066,42,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_resource,lut,10.44715690612793,0.9793018698692322,24454.4921875,34,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_resource,ff,11.430662155151367,0.9373835325241089,13770.3798828125,34,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_resource,dsp,52.63982391357422,0.7744244337081909,656.792724609375,34,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_resource,bram,10.741445541381836,0.9429201483726501,2.215930461883545,34,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_resource,cycles_max,14.201699256896973,0.9461148381233215,584.0744018554688,34,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,dense_resource,interval_max,20.28863525390625,0.9207401275634766,99.36145782470703,34,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,rule4ml,lut,54.66057205200195,0.5765441656112671,80395.15625,59,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,rule4ml,ff,82.21205139160156,0.5620121955871582,29928.453125,59,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,rule4ml,dsp,58.68910598754883,0.014266371726989746,892.7640991210938,59,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,rule4ml,bram,63.40052032470703,0.2474985122680664,44.488948822021484,59,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,rule4ml,cycles_max,63.908660888671875,0.08018773794174194,443.9170837402344,59,0.0009913240720413764
100,logistic_hurdle_rbf_expected_graph,test,rule4ml,interval_max,83.63066101074219,0.27907443046569824,65.33300018310547,59,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,all,lut,22.4136905670166,0.8582754135131836,40862.9140625,294,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,all,ff,28.013233184814453,0.8955305218696594,22006.591796875,294,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,all,dsp,23.318674087524414,0.7351011037826538,548.0571899414062,294,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,all,bram,27.82253074645996,0.5345014333724976,20.557737350463867,294,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,all,cycles_max,26.93345832824707,0.8164517879486084,224441.203125,294,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,all,interval_max,32.010982513427734,0.766464352607727,253275.875,294,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,2layer,lut,13.667908668518066,0.7534079551696777,3325.41259765625,64,0.0009913240720413764
100,logistic_hurdle_rbf_threshold_graph,test,2layer,ff,11.741562843322754,0.7710818648338318,1896.1358642578125,64,0.0009913240720413764
