split,feature,bin,lower,upper,scope,n_samples,r2,smape,rmse
exemplar,call_depth,1,4.0,5.0,overall,45,-15.911105280570276,143.69830300021695,8066.154184992319
exemplar,call_depth,1,4.0,5.0,resource,45,-11.137902811438071,129.64117939408663,10967.877320209866
exemplar,call_depth,1,4.0,5.0,timing,45,-25.457510218834685,171.81255021247753,2262.7079145572247
exemplar,call_depth,2,5.0,9.0,overall,41,-2.306849069188281,105.32192707112438,8509.393561374047
exemplar,call_depth,2,5.0,9.0,resource,41,-1.6213589178832468,96.46112332317838,11800.434371748255
exemplar,call_depth,2,5.0,9.0,timing,41,-3.677829371798349,123.04353456701638,1927.31194062563
exemplar,memory_node_count,0,2862.0,8012.0,overall,21,-218.1567592589876,147.79622335173875,6491.932423588307
exemplar,memory_node_count,0,2862.0,8012.0,resource,21,-51.49037795182478,129.9846444249009,9086.938181452051
exemplar,memory_node_count,0,2862.0,8012.0,timing,21,-551.4895218733134,183.4193812054145,1301.9209078608167
exemplar,memory_node_count,1,8012.0,8172.5,overall,29,-7.6576048274087105,126.56255263182994,8994.972005683881
exemplar,memory_node_count,1,8012.0,8172.5,resource,29,-9.336391892437101,113.6389063617921,12570.142327183365
exemplar,memory_node_count,1,8012.0,8172.5,timing,29,-4.300030697351929,152.4098451719057,1844.6313626849123
exemplar,memory_node_count,2,8172.5,8823.0,overall,23,-6.050991527175117,118.56724557505889,8618.942642617449
exemplar,memory_node_count,2,8172.5,8823.0,resource,23,-2.4638275098017157,113.5944392321588,11408.412764532131
exemplar,memory_node_count,2,8172.5,8823.0,timing,23,-13.225319561921914,128.51285826085905,3040.0023987880822
exemplar,memory_node_count,3,8823.0,9398.0,overall,27,-0.428137346252851,78.95481330707229,7928.396199631591
exemplar,memory_node_count,3,8823.0,9398.0,resource,27,0.009086767446799204,65.77275933334612,11191.757092571886
exemplar,memory_node_count,3,8823.0,9398.0,timing,27,-1.3025855736521512,105.31892125452464,1401.6744137510009
test,instruction_count,0,2356.0,3533.0,overall,15,0.10048038330462188,27.582945750922036,2207.326247279298
