model,split,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
rbf_svr,synthetic_test,dsp,0.12347006797790527,51.15064239501953,1206.1090087890625,-1.0466769933700562,-16.904476165771484,-39.157962799072266,29.232707977294922,0.12563063186813192,91
rbf_svr,synthetic_test,bram,0.37593501806259155,34.795989990234375,25.142297744750977,-0.31706494092941284,-16.242109298706055,-21.84046745300293,10.402700424194336,0.12563063186813192,91
rbf_svr,synthetic_test,cycles_max,0.046009361743927,26.46491813659668,442080.96875,1.8059568405151367,-51.86552047729492,-10.127573013305664,9.39432430267334,0.12563063186813192,91
rbf_svr,synthetic_test,interval_max,0.03445303440093994,30.96509552001953,445056.375,-0.38067829608917236,-66.28411865234375,-12.158271789550781,9.385224342346191,0.12563063186813192,91
rbf_svr,exemplar,lut,-0.9901763200759888,106.87096405029297,36567.14453125,-148.46080017089844,-663.8983764648438,-648.7332763671875,-0.5522109866142273,0.07515465911999854,100
rbf_svr,exemplar,ff,-0.02355825901031494,92.81523132324219,14897.2578125,-4.5425705909729,-4363.91796875,-107.39697265625,69.51986694335938,0.07515465911999854,100
rbf_svr,exemplar,dsp,-0.11407625675201416,120.61311340332031,885.463134765625,-54.46670150756836,-395.5505065917969,-448.4430236816406,63.492408752441406,0.07515465911999854,100
rbf_svr,exemplar,bram,-54.13821029663086,151.39236450195312,16.28118324279785,-556.9776000976562,-601.53662109375,-780.3504028320312,-345.76416015625,0.07515465911999854,100
rbf_svr,exemplar,cycles_max,0.5409533977508545,106.90895080566406,886.8153076171875,-166.74395751953125,-462.3647155761719,-581.3628540039062,36.38977813720703,0.07515465911999854,100
rbf_svr,exemplar,interval_max,0.28562599420547485,129.4190673828125,396.3939208984375,-267.1943359375,-752.4367065429688,-1013.0118408203125,52.16184616088867,0.07515465911999854,100
pooled_mlp,synthetic_test,lut,0.34104931354522705,38.00224304199219,109930.7265625,19.470422744750977,12.253652572631836,2.0973494052886963,36.93049621582031,0.03850269786813282,91
pooled_mlp,synthetic_test,ff,0.5007764101028442,40.5596809387207,44410.85546875,22.653371810913086,-1.9508185386657715,-5.479525566101074,36.38264465332031,0.03850269786813282,91
pooled_mlp,synthetic_test,dsp,0.04481559991836548,61.40839385986328,1259.06103515625,16.381155014038086,20.168079376220703,-11.405165672302246,56.445472717285156,0.03850269786813282,91
pooled_mlp,synthetic_test,bram,0.20585227012634277,40.81340026855469,28.36224937438965,0.0,-7.321691513061523,-16.444873809814453,34.22075653076172,0.03850269786813282,91
pooled_mlp,synthetic_test,cycles_max,-11.142107963562012,42.15765380859375,1577163.75,-1.6034951210021973,-34.63230514526367,-48.708717346191406,18.37234878540039,0.03850269786813282,91
pooled_mlp,synthetic_test,interval_max,-267.8143005371094,55.11621856689453,7425992.0,-15.014457702636719,-86.51458740234375,-70.93272399902344,16.983219146728516,0.03850269786813282,91
pooled_mlp,exemplar,lut,0.5691484212875366,64.72793579101562,17014.103515625,6.748528003692627,-58.751060485839844,-106.43136596679688,40.78667449951172,0.030459018869996725,100
