model,split,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
extra_trees_core_context,synthetic_test,dsp,0.5662592649459839,34.13157653808594,847.2152709960938,-2.4335737228393555,-23.132057189941406,-21.78738021850586,12.40576171875,0.0006768333197604599,294
extra_trees_core_context,synthetic_test,bram,0.48282647132873535,32.131629943847656,30.37308692932129,-0.1902407556772232,-17.04911231994629,-15.055654525756836,16.668834686279297,0.0006768333197604599,294
extra_trees_core_context,synthetic_test,cycles_max,0.5439612865447998,27.037086486816406,698528.5,0.6481488943099976,-11.486641883850098,-12.420804977416992,11.53958797454834,0.0006768333197604599,294
extra_trees_core_context,synthetic_test,interval_max,0.5429089665412903,32.849369049072266,699461.5625,-1.2936357259750366,-23.789798736572266,-15.51890754699707,10.115800857543945,0.0006768333197604599,294
extra_trees_core_context,exemplar,lut,0.23122495412826538,98.50941467285156,24104.09765625,-207.2951202392578,-594.437744140625,-483.5539245605469,-51.45723342895508,0.0004975489800199284,400
extra_trees_core_context,exemplar,ff,0.20701199769973755,94.35597229003906,15431.5791015625,-147.13140869140625,-558.4932250976562,-428.7339172363281,-19.17887306213379,0.0004975489800199284,400
extra_trees_core_context,exemplar,dsp,-0.06717550754547119,107.75572204589844,727.2328491210938,-37.49646759033203,-117.55846405029297,-220.58261108398438,75.48473358154297,0.0004975489800199284,400
extra_trees_core_context,exemplar,bram,-2.359537124633789,108.98611450195312,4.634303092956543,-189.08636474609375,-219.22027587890625,-306.70111083984375,-104.55304718017578,0.0004975489800199284,400
extra_trees_core_context,exemplar,cycles_max,0.19595152139663696,103.09593963623047,1234.8731689453125,-40.956634521484375,-441.61163330078125,-677.375,43.54660415649414,0.0004975489800199284,400
extra_trees_core_context,exemplar,interval_max,-0.16532421112060547,130.20120239257812,590.96337890625,-23.68276596069336,-296.5708923339844,-445.41131591796875,79.55294799804688,0.0004975489800199284,400
rbf_svr_core_context,synthetic_test,lut,0.8033947348594666,24.32918930053711,46328.81640625,0.9010045528411865,-331.3974914550781,-16.34687614440918,13.172163009643555,0.0012248777584937009,294
rbf_svr_core_context,synthetic_test,ff,0.8005080223083496,26.042068481445312,35599.1015625,1.4674417972564697,-24.572872161865234,-11.023226737976074,14.737091064453125,0.0012248777584937009,294
rbf_svr_core_context,synthetic_test,dsp,0.4860193729400635,36.249855041503906,922.2572021484375,-0.7951923608779907,-21.5550537109375,-22.848480224609375,12.996767044067383,0.0012248777584937009,294
rbf_svr_core_context,synthetic_test,bram,0.5228860378265381,32.56330490112305,29.173049926757812,-0.9224234819412231,-14.541353225708008,-11.859626770019531,12.975567817687988,0.0012248777584937009,294
rbf_svr_core_context,synthetic_test,cycles_max,0.47879648208618164,28.040847778320312,746770.125,-0.5152539014816284,-14.88466739654541,-16.845090866088867,10.495552062988281,0.0012248777584937009,294
rbf_svr_core_context,synthetic_test,interval_max,0.46060711145401,33.99966812133789,759827.625,0.32734790444374084,-28.615243911743164,-15.093033790588379,11.543482780456543,0.0012248777584937009,294
rbf_svr_core_context,exemplar,lut,0.4127272963523865,62.982154846191406,21067.408203125,-6.691778182983398,-120.84684753417969,-62.295928955078125,34.7745246887207,0.0009189626674924511,400
rbf_svr_core_context,exemplar,ff,0.06223571300506592,95.22769927978516,16781.234375,51.807044982910156,-37.79925537109375,-14.463430404663086,74.36862182617188,0.0009189626674924511,400
rbf_svr_core_context,exemplar,dsp,-0.03947007656097412,78.7015380859375,717.730712890625,0.0,-51.915992736816406,-81.96065521240234,48.09964370727539,0.0009189626674924511,400
rbf_svr_core_context,exemplar,bram,-0.24699461460113525,65.66519165039062,2.823429822921753,-0.5837857723236084,-64.93042755126953,-58.244117736816406,32.68156814575195,0.0009189626674924511,400
rbf_svr_core_context,exemplar,cycles_max,0.6037393808364868,103.14189147949219,866.9052734375,-102.70484161376953,-531.1490478515625,-757.4368896484375,42.27394104003906,0.0009189626674924511,400
rbf_svr_core_context,exemplar,interval_max,-0.08021461963653564,120.5215835571289,568.9736938476562,11.278083801269531,-282.2748718261719,-272.166748046875,77.58189392089844,0.0009189626674924511,400
tabular_mlp_core_context,synthetic_test,lut,0.8110940456390381,24.809608459472656,45412.61328125,1.6660956144332886,-141.96514892578125,-14.829473495483398,16.299884796142578,2.7497050989511087e-05,294
tabular_mlp_core_context,synthetic_test,ff,0.8439199328422546,25.4172420501709,31488.361328125,-1.209719181060791,-8.703700065612793,-14.244059562683105,12.035904884338379,2.7497050989511087e-05,294
tabular_mlp_core_context,synthetic_test,dsp,0.11858940124511719,33.62012481689453,1207.724365234375,0.0,-12.313056945800781,-17.819456100463867,18.65789794921875,2.7497050989511087e-05,294
tabular_mlp_core_context,synthetic_test,bram,0.6339142322540283,34.9052848815918,25.554195404052734,-1.9835630655288696,-18.748010635375977,-24.275630950927734,14.480217933654785,2.7497050989511087e-05,294
tabular_mlp_core_context,synthetic_test,cycles_max,0.7547895908355713,31.37730598449707,512215.46875,-5.456857681274414,-19.287580490112305,-24.334671020507812,11.744057655334473,2.7497050989511087e-05,294
tabular_mlp_core_context,synthetic_test,interval_max,0.6971162557601929,36.44154739379883,569377.75,-6.775960922241211,-46.3613166809082,-29.572654724121094,12.346010208129883,2.7497050989511087e-05,294
tabular_mlp_core_context,exemplar,lut,0.3991331458091736,66.61084747314453,21309.84765625,-37.755455017089844,-100.59539794921875,-137.77459716796875,25.254806518554688,7.89173449811642e-05,400
tabular_mlp_core_context,exemplar,ff,0.2183714509010315,75.07974243164062,15320.65234375,23.92224884033203,-52.37138748168945,-51.09376907348633,59.46854782104492,7.89173449811642e-05,400
tabular_mlp_core_context,exemplar,dsp,0.0035236477851867676,103.59342956542969,702.7308959960938,-109.83553314208984,-401.6661682128906,-495.52154541015625,0.0,7.89173449811642e-05,400
tabular_mlp_core_context,exemplar,bram,0.03170531988143921,62.99599838256836,2.4879891872406006,0.0,-51.610374450683594,-72.68760681152344,30.78726577758789,7.89173449811642e-05,400
tabular_mlp_core_context,exemplar,cycles_max,-0.8410265445709229,123.44267272949219,1868.5780029296875,-467.34075927734375,-1181.5380859375,-1688.01220703125,-85.61209869384766,7.89173449811642e-05,400
